Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"B1","18650","BAT_BK-18650-PC4_no_screws",45.7200,35.5600,0.0000,top
"C1","100nF","C_0805_2012Metric",19.6850,39.2430,90.0000,bottom
"C2","0.1u","C_0805_2012Metric",29.9720,34.5440,90.0000,bottom
"C3","10u","C_0805_2012Metric",27.9400,34.5440,90.0000,bottom
"C4","10u","C_0805_2012Metric",23.3680,27.9400,180.0000,bottom
"C5","0.1u","C_0603_1608Metric",32.8930,25.4000,180.0000,bottom
"C6","10u","C_0805_2012Metric",35.5600,24.5110,-90.0000,bottom
"C7","10u","C_0805_2012Metric",45.0248,24.4680,-90.0000,bottom
"C8","10u","C_0805_2012Metric",45.0502,28.1256,90.0000,bottom
"C9","47nF","C_0805_2012Metric",26.2890,28.4480,-90.0000,bottom
"C10","47nF","C_0805_2012Metric",35.7378,29.0830,90.0000,bottom
"C11","10u","C_0805_2012Metric",40.2590,32.6390,180.0000,bottom
"C12","1uF","C_0805_2012Metric",47.1838,28.1510,90.0000,bottom
"C13","10uF","C_0805_2012Metric",47.1838,24.4680,-90.0000,bottom
"C16","2.2uF","C_0805_2012Metric",66.5211,40.2575,180.0000,bottom
"C17","100nF","C_0805_2012Metric",69.0611,36.9555,-90.0000,bottom
"C18","100nF","C_0805_2012Metric",66.8640,36.9783,90.0000,bottom
"C19","10u","C_0805_2012Metric",40.2590,30.6070,180.0000,bottom
"C20","4.7u","C_0805_2012Metric",24.0030,31.3690,180.0000,bottom
"C21","100nF","C_0805_2012Metric",74.8030,32.3850,90.0000,bottom
"C23","100nF","C_0805_2012Metric",49.5968,21.5216,-90.0000,bottom
"C24","100nF","C_0603_1608Metric",29.8450,25.4000,0.0000,bottom
"C25","10u","C_0805_2012Metric",25.0190,24.3840,-90.0000,bottom
"C26","10u","C_0805_2012Metric",27.1780,24.3840,-90.0000,bottom
"C27","10u","C_0805_2012Metric",22.8600,24.3840,-90.0000,bottom
"C29","100nF","C_0805_2012Metric",20.8280,17.2720,0.0000,bottom
"C30","10u","C_0805_2012Metric",37.7190,24.5110,-90.0000,bottom
"C31","10u","C_0805_2012Metric",39.8780,24.5110,-90.0000,bottom
"C35","1uF","C_0805_2012Metric",52.5940,17.3560,180.0000,bottom
"C36","10uF","C_0805_2012Metric",57.1152,16.5178,-90.0000,bottom
"C38","22nF","C_0805_2012Metric",57.3786,25.3746,-90.0000,bottom
"D1","LED","LED_1206",62.9920,9.9060,-90.0000,bottom
"D2","PDS760-13","D_PowerDI-5",54.7022,20.9120,180.0000,bottom
"D3","LED","LED_1206",30.7594,10.4648,90.0000,bottom
"D4","LED","LED_1206",66.0717,9.9060,90.0000,bottom
"D5","LED","LED_1206",69.1515,9.9060,90.0000,bottom
"D6","1N4148WS","D_0805_2012Metric",57.3771,41.1465,90.0000,bottom
"D7","LED","LED_1206",72.2313,9.9060,-90.0000,bottom
"D8","LED","LED_1206",75.3110,9.9060,-90.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",13.3858,14.7828,180.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",80.6958,52.6034,180.0000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",78.3590,19.5072,180.0000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",16.6370,59.2328,180.0000,bottom
"H1","M3","MountingHole_3mm",10.1600,60.9600,0.0000,top
"H2","M3","MountingHole_3mm",81.2800,60.9600,0.0000,top
"H3","M3","MountingHole_3mm",10.1600,10.1600,0.0000,top
"H4","M3","MountingHole_3mm",81.2800,10.1600,0.0000,top
"J1","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",8.0010,35.5600,90.0000,bottom
"J2","CONN1_1","WAGO256",29.2305,58.2422,180.0000,top
"J3","CONN1_1","WAGO256",29.2305,63.2460,180.0000,top
"J4","JUMP_4X2","Straight_2x04",38.9890,11.6332,-90.0000,top
"J5","HEADER_2x03_PARALLEL","Straight_2x03",47.9552,10.4140,0.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_1x02",42.1640,59.1820,0.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_1x02",39.6240,59.1820,180.0000,top
"J8","CONN1_1","WAGO256",22.4155,12.9260,0.0000,top
"J9","CONN1_1","WAGO256",22.4155,7.9730,0.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_1x02",47.2440,59.1820,0.0000,top
"J11","HEADER_1x02","Straight_1x02",49.7840,59.1820,0.0000,top
"J12","HEADER_2x05_PARALLEL","Straight_2x05",70.3580,58.9280,90.0000,top
"JP1","Jumper_2_Open","Straight_2x01",44.7040,59.1820,90.0000,top
"L1","2.2uH","L_Vishay_IHLP-2020",31.2420,19.6850,180.0000,bottom
"L2","2.2uH","L_Vishay_IHLP-2020",61.5348,19.5658,-90.0000,bottom
"Q1","DMT31M7LPS","D_POWERDI5060-8_6.0x5.1mm_P1.27mm",38.3540,51.8160,90.0000,bottom
"Q2","AP2305AGN-HF-3","SOT-23",24.1300,45.0850,180.0000,bottom
"Q3","DMT31M7LPS","D_POWERDI5060-8_6.0x5.1mm_P1.27mm",21.7170,52.0700,180.0000,bottom
"Q5","DMT31M7LPS","D_POWERDI5060-8_6.0x5.1mm_P1.27mm",29.0830,52.0700,0.0000,bottom
"R1","5k1","R_0805_2012Metric",16.6370,37.0840,180.0000,bottom
"R2","5k1","R_0805_2012Metric",15.6210,33.0200,90.0000,bottom
"R3","127k","R_0805_2012Metric",34.9250,35.1790,180.0000,bottom
"R4","100k","R_0805_2012Metric",38.4810,35.1790,0.0000,bottom
"R5","5.24k","R_0805_2012Metric",34.9250,37.3380,0.0000,bottom
"R6","30.31k","R_0805_2012Metric",35.6870,40.1320,90.0000,bottom
"R7","2k2","R_0805_2012Metric",20.5740,28.2702,-90.0000,bottom
"R8","100","R_0805_2012Metric",41.9100,35.1790,0.0000,bottom
"R9","8k2","R_0805_2012Metric",38.4810,28.5750,0.0000,bottom
"R10","44k2","R_0805_2012Metric",62.3570,27.8638,180.0000,bottom
"R11","10k","R_0805_2012Metric",43.1800,62.8650,180.0000,bottom
"R12","15k8","R_0805_2012Metric",50.7652,30.2084,0.0000,bottom
"R13","10k","R_0805_2012Metric",59.4614,27.0002,-90.0000,bottom
"R14","10k","R_0805_2012Metric",71.8820,62.9920,0.0000,bottom
"R15","10k","R_0805_2012Metric",67.8180,62.9920,180.0000,bottom
"R17","470R","R_1206_3216Metric",16.7640,49.4030,-90.0000,bottom
"R18","10M","R_0805_2012Metric",24.1300,48.0060,180.0000,bottom
"R19","5.1k","R_0805_2012Metric",28.0670,45.8470,180.0000,bottom
"R20","100","R_0805_2012Metric",59.6631,41.1465,90.0000,bottom
"R22","10M","R_0805_2012Metric",16.7640,53.4670,-90.0000,bottom
"R23","10M","R_0805_2012Metric",33.7820,50.8000,90.0000,bottom
"R24","10k","R_0805_2012Metric",52.3748,41.3258,0.0000,bottom
"R27","5.1k","R_0805_2012Metric",38.1000,46.1010,0.0000,bottom
"R28","5.1k","R_0805_2012Metric",20.5740,45.7200,90.0000,bottom
"R32","100","R_0805_2012Metric",13.6144,45.0342,0.0000,bottom
"R33","100","R_0805_2012Metric",13.8430,25.9080,0.0000,bottom
"R34","100","R_0805_2012Metric",77.9780,31.3690,180.0000,bottom
"R35","2mR","R_2512_6332Metric",81.9150,32.5120,90.0000,bottom
