Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",107.7468,-106.4514,-90.0000,bottom
"C2","0.1u","C_0402_1005Metric",116.1288,-87.1322,-90.0000,bottom
"C3","10u","C_0805_2012Metric",119.0498,-90.1954,-90.0000,bottom
"C4","10u","C_0805_2012Metric",107.7468,-102.7684,-90.0000,bottom
"C5","0.1u","C_0402_1005Metric",111.3028,-101.8794,0.0000,bottom
"C6","10u","C_0805_2012Metric",120.5738,-84.2264,90.0000,bottom
"C7","10u","C_0805_2012Metric",120.7262,-90.1954,-90.0000,bottom
"C8","10u","C_0805_2012Metric",114.6048,-102.3874,90.0000,bottom
"C9","47nF","C_0402_1005Metric",131.6228,-84.9884,90.0000,bottom
"C10","47nF","C_0805_2012Metric",131.1148,-108.9914,0.0000,bottom
"C11","10u","C_0805_2012Metric",123.6218,-110.8964,-90.0000,bottom
"C12","100nF","C_0603_1608Metric",149.2758,-108.8644,-90.0000,bottom
"C13","100nF","C_0603_1608Metric",161.8488,-108.2294,-90.0000,bottom
"C14","100nF","C_0603_1608Metric",168.3258,-116.1034,-90.0000,bottom
"C15","100nF","C_0603_1608Metric",162.8648,-111.0234,0.0000,bottom
"C16","2.2uF","C_0603_1608Metric",162.8648,-104.9274,0.0000,bottom
"C17","100nF","C_0402_1005Metric",152.7683,-101.1174,90.0000,bottom
"C18","100nF","C_0402_1005Metric",145.7198,-113.1824,-90.0000,bottom
"C19","10u","C_0805_2012Metric",145.8468,-95.2754,90.0000,bottom
"C20","4.7u","C_0402_1005Metric",149.4663,-91.1479,90.0000,bottom
"D1","LED","LED_1206",110.5738,-84.0994,0.0000,bottom
"D3","LED","LED_1206",123.6218,-77.4954,90.0000,bottom
"D4","LED","LED_1206",128.7018,-77.4954,90.0000,bottom
"D5","LED","LED_1206",133.7818,-77.4954,90.0000,bottom
"D7","LED","LED_1206",141.4018,-128.9304,90.0000,bottom
"D8","LED","LED_1206",144.0688,-128.9304,90.0000,bottom
"L1","1uH","L_1008_2520Metric",126.4158,-99.4664,90.0000,bottom
"Q1","DMT31M7LPS","PowerDI5060-8",117.7798,-102.2604,180.0000,bottom
"R1","5k1","R_0805_2012Metric",105.3338,-99.4664,90.0000,bottom
"R2","5k1","R_0805_2012Metric",104.6988,-105.3084,180.0000,bottom
"R3","127k","R_0402_1005Metric",104.6988,-103.0224,180.0000,bottom
"R4","100k","R_0402_1005Metric",145.3388,-82.8294,-90.0000,bottom
"R5","5.24k","R_0402_1005Metric",133.9088,-83.0199,-90.0000,bottom
"R6","30.31k","R_0402_1005Metric",121.3358,-80.7974,90.0000,bottom
"R7","2k2","R_0805_2012Metric",126.2888,-80.9244,90.0000,bottom
"R8","100","R_0805_2012Metric",131.2418,-80.9244,90.0000,bottom
"R9","6.04k","R_0402_1005Metric",115.6208,-105.6894,0.0000,bottom
"R11","10k","R_0402_1005Metric",124.7648,-84.2264,90.0000,bottom
"R18","10M","R_0402_1005Metric",164.3888,-108.2294,90.0000,bottom
"R19","5.1k","R_0402_1005Metric",167.6908,-107.4674,180.0000,bottom
"R20","100","R_0805_2012Metric",170.3578,-119.0244,90.0000,bottom
"R22","10M","R_0402_1005Metric",171.3738,-108.8644,90.0000,bottom
"R23","10M","R_0402_1005Metric",154.8003,-101.1174,-90.0000,bottom
"R24","10k","R_0402_1005Metric",151.4983,-104.1019,0.0000,bottom
"R27","5.1k","R_0402_1005Metric",141.4018,-123.7234,90.0000,bottom
"R28","5.1k","R_0402_1005Metric",144.0688,-123.7234,90.0000,bottom
"R32","100","R_0805_2012Metric",154.7368,-123.7234,90.0000,bottom
"R33","100","R_0805_2012Metric",157.4038,-123.7234,90.0000,bottom
"R34","100","R_0402_1005Metric",160.0708,-123.7234,90.0000,bottom
"R35","1mR","R_1206_3216Metric",154.0383,-98.3869,180.0000,bottom
"R36","100","R_0402_1005Metric",155.3718,-96.4819,180.0000,bottom
"U1","BQ25792RQMR1","Texas_RQM0029A_VQFN-HR-28_4x4mm_P0.5mm",111.3028,-104.9274,90.0000,bottom
"U3","BQ40z50-R2","Texas_RSM0032A_VQFN-32-4.1x4.1-EP-1.4",155.6258,-108.4834,0.0000,bottom
