Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"B1","18650","BAT_BK-18650-PC4_no_screws",139.5180,-102.6180,0.0000,top
"C21","100nF","C_0402_1005Metric",130.0330,-124.3080,0.0000,top
"C24","100nF","C_0402_1005Metric",118.5930,-139.3580,0.0000,top
"C25","10u","C_0603_1608Metric",119.1630,-137.1180,0.0000,top
"C26","10u","C_0805_2012Metric",114.9330,-134.4180,0.0000,top
"C27","10u","C_0805_2012Metric",114.9330,-137.4280,0.0000,top
"C29","100nF","C_0805_2012Metric",114.9330,-140.4380,0.0000,top
"C30","10u","C_0805_2012Metric",114.9330,-143.4480,0.0000,top
"C31","10u","C_0805_2012Metric",114.9330,-146.4580,0.0000,top
"D6","1N4148WS","D_SOD-323",126.4780,-124.7980,0.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",108.9330,-134.6880,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",108.9330,-138.2380,0.0000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",108.9330,-141.7880,0.0000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",108.9330,-145.3380,0.0000,top
"H1","M3","MountingHole_3mm",103.6177,-136.4627,0.0000,top
"H2","M3","MountingHole_3mm",103.6177,-143.5622,0.0000,top
"H3","M3","MountingHole_3mm",103.6177,-150.6617,0.0000,top
"H4","M3","MountingHole_3mm",103.6177,-157.7612,0.0000,top
"J1","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",114.6048,-77.4954,-90.0000,top
"J2","CONN1_1","WAGO256",147.8788,-77.7494,0.0000,top
"J3","CONN1_1","WAGO256",137.7188,-77.7494,180.0000,top
"J4","JUMP_4X2","Straight_2x04",142.7988,-77.7494,180.0000,top
"J5","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",145.3388,-77.7494,0.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_1x02",140.2588,-77.7494,0.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_1x02",134.4168,-128.2954,90.0000,top
"J8","CONN1_1","WAGO256",116.2558,-125.5014,0.0000,top
"J9","CONN1_1","WAGO256",116.2558,-130.4544,0.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_1x02",161.7218,-79.6544,0.0000,top
"J11","HEADER_1x02","Straight_1x02",164.2618,-79.6544,0.0000,top
"J12","HEADER_2x05_PARALLEL","Straight_2x05",166.8018,-79.6544,0.0000,top
"Q2","AO3401A","SOT-23",121.8630,-125.7230,0.0000,top
"Q3","DMT31M7LPS","PowerDI5060-8",103.3680,-129.7814,0.0000,top
"Q5","DMT31M7LPS","PowerDI5060-8",109.9680,-129.7814,0.0000,top
"R17","470R","R_1206_3216Metric",167.3098,-112.2934,180.0000,top
"SW1","SKRTLAE010","SKRT",166.0398,-127.7874,0.0000,top
"SW2","SKRTLAE010","SKRT",116.3430,-125.1530,0.0000,top
"TH1","10k","R_0402_1005Metric",125.7630,-127.2680,0.0000,top
"TH2","10k","R_0402_1005Metric",125.7630,-129.2580,0.0000,top
"TH3","NCP21XV103J03RA","R_0805_2012Metric",119.3630,-134.3880,0.0000,top
"TH4","NCP21XV103J03RA","R_0805_2012Metric",121.6230,-129.4180,0.0000,top
